地方公共団体コード,地方公共団体名,年度,年度（西暦）,地名,センター,燃やせるごみ,燃やせないごみ,不燃性粗大ごみ,空きびん・古紙・乾電池・体温計,ペットボトル・白色トレイ・古布,空き缶
332089,岡山県総社市,平成28年,2016,総社一丁目（本町・川崎・稲荷町）,吉備路クリーンセンター,火 金,水3,水2,水1,水2,水4
332089,岡山県総社市,平成28年,2016,総社二丁目（幸町・栄町の一部・宮本町の一部）,吉備路クリーンセンター,月 木,火3,水2,火1,火2,火4
332089,岡山県総社市,平成28年,2016,総社二丁目（元町・栄町の一部）,吉備路クリーンセンター,火 金,水3,水2,水1,水2,水4
332089,岡山県総社市,平成28年,2016,総社三丁目,吉備路クリーンセンター,月 木,火3,水2,火1,火2,火4
332089,岡山県総社市,平成28年,2016,中央三丁目,吉備路クリーンセンター,火 金,水3,水2,水1,水2,水4
332089,岡山県総社市,平成28年,2016,中央四丁目,吉備路クリーンセンター,火 金,水3,水2,水1,水2,水4
332089,岡山県総社市,平成28年,2016,中央五丁目,吉備路クリーンセンター,火 金,水3,水2,水1,水2,水4
332089,岡山県総社市,平成28年,2016,中央六丁目（中央文化筋より東）,吉備路クリーンセンター,火 金,水3,水2,水1,水2,水4
332089,岡山県総社市,平成28年,2016,総社（諸上）,吉備路クリーンセンター,月 木,火3,水2,火1,火2,火4
332089,岡山県総社市,平成28年,2016,総社（西山・北宮本町の一部）,吉備路クリーンセンター,火 金,月3,水1,月1,月2,月4
332089,岡山県総社市,平成28年,2016,井手（井手・出張・天原・清水）,吉備路クリーンセンター,月 木,火3,水2,火1,火2,火4
332089,岡山県総社市,平成28年,2016,井手（延・富江）,吉備路クリーンセンター,火 金,木3,水3,木1,木2,木4
332089,岡山県総社市,平成28年,2016,刑部,吉備路クリーンセンター,火 金,月3,水1,月1,月2,月4
332089,岡山県総社市,平成28年,2016,福井,吉備路クリーンセンター,火 金,月3,水1,月1,月2,月4
332089,岡山県総社市,平成28年,2016,泉南（１～８）,吉備路クリーンセンター,月 木,金3,水4,金1,金2,金4
332089,岡山県総社市,平成28年,2016,小寺,吉備路クリーンセンター,月 木,水3,水2,水1,水2,水4
332089,岡山県総社市,平成28年,2016,小寺の一部（兎登木・新田）,吉備路クリーンセンター,月 木,金3,水4,金1,金2,金4
332089,岡山県総社市,平成28年,2016,真壁（八神）,吉備路クリーンセンター,火 金,水3,水2,水1,水2,水4
332089,岡山県総社市,平成28年,2016,三須,吉備路クリーンセンター,火 金,木3,水3,木1,木2,木4
